path,artifact_type,created_or_updated_at,size_bytes,sha256,readability
artifacts/fnd01_funding_opportunity_semantics.json,JSON Foundation business model,2026-08-13T02:16:48.785Z,1052,17a16a3a9c1a8a55c01cfaa55caa354bf46a0c8a2fbad15eb872a71592322420,READABLE
artifacts/fnd01_gift_data_ownership.json,JSON financial/data boundary,2026-08-13T02:16:48.785Z,1076,d84f439f0884599f018ea285ea72d49d692006d80e2e627766c4303fd3411c85,READABLE
artifacts/fnd01_human_first_validation.json,JSON validation evidence,2026-08-13T02:16:48.785Z,1445,6f251e6081efa18deeafabd897f764a2e9c21d7bc652e1a35991cfb1923f3ba2,READABLE
artifacts/fnd01_implementation_evidence.json,JSON historical implementation evidence,2026-08-13T02:16:48.785Z,1136,251bfbecf5eef32c9c9fc02a055933757707606bc5460d1672ad788719d37720,READABLE
artifacts/fnd01_intake_mapping.json,JSON mixed intake/platform mapping,2026-08-13T02:16:48.785Z,1064,e4df87789cbb4a20c375acbb7409df2da662b4417002e8ed9657f3fd2840e3e7,READABLE
artifacts/fnd01_journeys_fit.json,JSON platform-fit analysis,2026-08-13T02:16:48.785Z,805,b3dd57037149ccfcf172805703afaa6cb34f48e84f477df2cd63d86b994014d2,READABLE
artifacts/fnd01_metrics_model.json,JSON Foundation measurement model,2026-08-13T02:16:48.785Z,858,f1885b0fd2ad4f75df92833208685271b66f148fd5fd23e48a8b336ea1081d6d,READABLE
artifacts/fnd01_package_definition.json,JSON work-package definition,2026-08-13T02:16:48.785Z,2777,aa50aaea7929c7da73078c97cf268dc8da5caf144271d4b178e8d7305f43ec7d,READABLE
artifacts/fnd01_package_definition.md,Markdown work-package summary,2026-08-13T02:16:48.785Z,811,aacc2bfc96d637f110fdbf2e698a42762f6a43ed2fd8b97334de8c9c79051589,READABLE
artifacts/fnd01_power_automate_optimization.json,JSON automation analysis,2026-08-13T02:16:48.785Z,958,b17cee6396bd1b1851bda8f4d39bcc5cf28e05f448aedd80541f7eb4f823ce15,READABLE
artifacts/fnd01_privacy_security_validation.json,JSON privacy design evidence,2026-08-13T02:16:48.785Z,927,a5f86a8898bdc3c4b6282624662ad77324226f219b5b910e53cad66b3ed865f9,READABLE
artifacts/fnd01_program_model.json,JSON Foundation business model,2026-08-13T02:16:48.785Z,4370,4dc8e916b26b9c0a229ed76dcaa77a6124a3cecaa97fde800067816961669e70,READABLE
artifacts/fnd01_public_link_validation.json,JSON link validation evidence,2026-08-13T02:16:48.785Z,606,9ad3baa91443ea08c2b859893c72376d42d6ac0f6394fa0b4a4b82ba9a8e473a,READABLE
artifacts/fnd01_recipient_participant_semantics.json,JSON Foundation business model,2026-08-13T02:16:48.785Z,1003,1e4e4bd56c6ff7fddbdcfd92d2b1505380a880845fc101504b189d0889951ba8,READABLE
artifacts/fnd01_regression_validation.json,JSON historical validation evidence,2026-08-13T02:16:48.785Z,1442,74760200aacad2677cc5d4edd6d5a5a58d87658ce10bc952811b53cf8308baff,READABLE
artifacts/fnd01_relationship_intelligence_boundary.json,JSON platform boundary,2026-08-13T02:16:48.785Z,1016,48aa68f75709a9874291e708d70a039bfcbb7836947b5b7600636ad2d818c185,READABLE
artifacts/fnd01_relationship_model_validation.json,JSON platform model validation,2026-08-13T02:16:48.785Z,1538,1ef07ca3aee9ea4b8547cf7cbd47e1b1f48d75d585e3f03dcff1d8bf29442042,READABLE
artifacts/fnd01_remaining_backlog.json,JSON historical backlog,2026-08-13T02:16:48.785Z,1500,d3fe2a2a2638f8a738e19c3f50b5767d17c90bf5c1e2cf9df8a9fce3fcf586d6,READABLE
artifacts/fnd01_schema_decision.json,JSON Dataverse schema proposal,2026-08-13T02:16:48.785Z,1443,401172e4c26d95757a8d24f8343a647a84690ef30f5a1c31c55c2a9110236401,READABLE
artifacts/fnd01_sharepoint_document_model.json,JSON SharePoint ownership model,2026-08-13T02:16:48.785Z,1744,5abfae7b72e6eafe1441848e9e5b05c1fe5578e3cadde3daf5591c3586391230,READABLE
artifacts/fnd01_source_referral_model.json,JSON Foundation business model,2026-08-13T02:16:48.785Z,803,41f44bc8b2112506b4108d4b989b3e455aa752a4f0888413a7aee2c520c1b5d7,READABLE
artifacts/fnd01_unified_routing_fit.json,JSON platform-fit analysis,2026-08-13T02:16:48.785Z,693,c71c27b62ca1b3d30f53b108d030194a8aec6f5aaccbbc1d5c1243d34d4d52c6,READABLE
artifacts/fnd01_validation.json,JSON historical validation evidence,2026-08-13T02:16:48.785Z,1776,9ccc39fb901b3715fc02156e3c63b9bc522bc041d23ff22e40309073c26716ec,READABLE
artifacts/fnd01_volunteer_semantics.json,JSON Foundation business model,2026-08-13T02:16:48.785Z,966,20d656af57e2464465772362f82eb27a059a666a80aed2a08951fde62c647421,READABLE
artifacts/post_fnd01_completion_priority_gate.json,JSON historical sequencing recommendation,2026-08-13T02:16:48.785Z,1761,cf10acbebfa79c37b822a8650dc92a1c14ee20e9d06d64d6b3434de92377e964,READABLE
scripts/generate_fnd01_artifacts.mjs,JavaScript evidence generator,2026-08-12T22:16:42-0400,40310,5352801051d231ba18dfce44d54bfa192248f182fe00d5a832565187f2b14c7c,READABLE_AFTER_CLOUD_FETCH
