path,artifact_type,work_package_or_subject,created_or_updated_at,source_authority,foundation_business_evidence,customer_voice_platform_evidence,dataverse_platform_evidence,power_platform_governance_evidence,production_evidence,superseded_by_current_production,duplicate_of_canonical_artifact,foundation_repo_owned,enterprise_platform_relevance,action
artifacts/fnd01_relationship_model_validation.json,Platform model validation,Dataverse relationship types,2026-08-13T02:16:48.785Z,Mixed Foundation and Dataverse design,YES,NO,YES,YES,NO,NO,NO,PARTIAL,YES,DEPENDENCY_ONLY
artifacts/fnd01_remaining_backlog.json,Historical backlog,FND-01 admin and optimization backlog,2026-08-13T02:16:48.785Z,August FND-01 synthesis,YES,YES,YES,YES,NO,YES,NO,PARTIAL,YES,SUPERSEDED_HISTORICAL
artifacts/fnd01_schema_decision.json,Dataverse schema proposal,Minimum domain schema,2026-08-13T02:16:48.785Z,Enterprise Dataverse design,NO,NO,YES,YES,NO,NO,NO,NO,YES,DEPENDENCY_ONLY
artifacts/fnd01_sharepoint_document_model.json,SharePoint ownership model,Document storage and metadata,2026-08-13T02:16:48.785Z,Enterprise Microsoft platform design,NO,NO,YES,YES,NO,NO,NO,NO,YES,DEPENDENCY_ONLY
artifacts/fnd01_source_referral_model.json,Foundation business model,Source and referral vocabulary,2026-08-13T02:16:48.785Z,Foundation business design,YES,NO,YES,NO,NO,NO,NO,YES,YES,PRESERVE_EVIDENCE_HOLD
artifacts/fnd01_unified_routing_fit.json,Platform-fit analysis,Unified routing future fit,2026-08-13T02:16:48.785Z,Enterprise platform design,NO,NO,YES,YES,NO,NO,NO,NO,YES,DEPENDENCY_ONLY
artifacts/fnd01_validation.json,Historical validation evidence,FND-01 controlled scenarios,2026-08-13T02:16:48.785Z,August local design validation,YES,YES,YES,YES,PARTIAL,YES,NO,PARTIAL,YES,SUPERSEDED_HISTORICAL
artifacts/fnd01_volunteer_semantics.json,Foundation business model,Volunteer identity and relationship semantics,2026-08-13T02:16:48.785Z,Foundation business design,YES,YES,YES,NO,NO,NO,NO,YES,YES,PRESERVE_EVIDENCE_HOLD
artifacts/post_fnd01_completion_priority_gate.json,Historical sequencing recommendation,Post-FND-01 next wave,2026-08-13T02:16:48.785Z,August sequencing recommendation,YES,YES,YES,YES,NO,YES,NO,PARTIAL,YES,SUPERSEDED_HISTORICAL
scripts/generate_fnd01_artifacts.mjs,Evidence generator,Generation source for all local FND-01 artifacts,2026-08-12T22:16:42-0400,Local generator script,YES,YES,YES,YES,NO,PARTIAL,NO,PARTIAL,YES,PRESERVE_EVIDENCE_HOLD
